run,manifest_id,seed,experiment,condition,protocol,independent_value,algorithm,backbone_mode,steps,batch_size,num_source_domains,total_source_images,final_objective,last100_mean_objective,minimum_objective,final_mean_logged_source_ce,final_worst_logged_source_ce,last100_mean_logged_source_ce,last100_mean_worst_logged_source_ce,adaptive_beta_a_final,adaptive_beta_b_final,checkpoint_selection,checkpoint_path,history_path,manifest_path
E0_erm,5e30ed29d028c8fb,0,E0,balanced,mechanism,baseline,erm,finetune_last_stage,1000,64,4,4000,0.1599961221218109,0.08396117297001184,0.004697115626186132,0.12485210341401398,0.2756420969963074,0.17337077094300185,0.37153186518698933,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_erm/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_erm/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_erm/manifest.json
E0_groupdro,b0e528bab3116c88,0,E0,balanced,mechanism,baseline,groupdro,finetune_last_stage,1000,64,4,4000,0.5030052661895752,0.41289591435343026,0.032548438757658005,0.4109826982021332,0.5134531855583191,0.37281772869406266,0.668432050049305,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_groupdro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_groupdro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_groupdro/manifest.json
E0_inftask,89c8921666db86a9,0,E0,balanced,mechanism,baseline,inftask,finetune_last_stage,1000,64,4,4000,0.43539851903915405,0.28403547789901495,0.04050622135400772,0.2772021163254976,0.5067553520202637,0.1756554186739959,0.35284227654337885,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_inftask/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_inftask/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_inftask/manifest.json
E0_iro,0743b95e1a80eaa1,0,E0,balanced,mechanism,baseline,iro,finetune_last_stage,1000,64,4,4000,0.37487277388572693,0.2803012091293931,0.03826503828167915,0.25305399112403393,0.41406717896461487,0.17002360717393458,0.3576897495239973,0.9999878406524658,1.0000020265579224,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_iro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_iro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_iro/manifest.json
E1_12types_erm,5f51f5f63434ae10,0,E1,12_types,mechanism,12,erm,finetune_last_stage,1000,64,12,40000,0.8728840351104736,0.8178476956486702,0.36493462324142456,1.2573294366399448,2.657493829727173,1.4078135436028243,2.7150194442272184,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_erm/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_erm/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_erm/manifest.json
E1_12types_groupdro,7943dea9994c95ba,0,E1,12_types,mechanism,12,groupdro,finetune_last_stage,1000,64,12,40000,2.535853862762451,1.9061458367109299,0.5267542004585266,1.528814474741618,2.6744558811187744,1.573979574305316,2.9378727507591247,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_groupdro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_groupdro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_groupdro/manifest.json
E1_12types_inftask,e4874ff1985e966c,0,E1,12_types,mechanism,12,inftask,finetune_last_stage,1000,64,12,40000,1.9337372779846191,1.8003309273719788,1.1259441375732422,1.2936182065556447,2.5034680366516113,1.2263492950393509,2.5276559269428254,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_inftask/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_inftask/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_inftask/manifest.json
E1_12types_iro,17957be759915947,0,E1,12_types,mechanism,12,iro,finetune_last_stage,1000,64,12,40000,1.8600373268127441,1.7957306027412414,1.1026206016540527,1.2527668979018927,2.314206600189209,1.221161318759744,2.531424584388733,0.9999991059303284,1.0,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_iro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_iro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_iro/manifest.json
E1_2types_erm,851a6207fcc1db5a,0,E1,2_types,mechanism,2,erm,finetune_last_stage,1000,64,2,40000,0.9372584223747253,1.0346997821331023,0.5586998462677002,0.9993948936462402,1.2835365533828735,1.084179477393627,1.2490844815969466,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_erm/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_erm/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_erm/manifest.json
E1_2types_groupdro,b36db9f059448c77,0,E1,2_types,mechanism,2,groupdro,finetune_last_stage,1000,64,2,40000,1.3470563888549805,1.3209577000141144,0.6134893894195557,1.0263079404830933,1.3494380712509155,1.2284574502706527,1.4095546168088913,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_groupdro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_groupdro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_groupdro/manifest.json
